step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
1,A1,ADJECTIVES,combining,FORM: COMBINING TWO ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of common adjectives.,The teachers are very nice and friendly.,
2,A1,ADJECTIVES,modifying,FORM: WITH 'VERY' ,Can use 'very' with a limited range of common gradable adjectives.,I like Croydon because it's very quiet and very nice.,
3,A1,ADJECTIVES,position,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use a limited range of adjectives attributively, before a noun. ► noun phrases",We have a big garden and a small swimming pool.,1.0
4,A1,ADJECTIVES,position,"FORM: PREDICATIVE, WITH 'BE'","Can use a limited range of adjectives predicatively, after 'be'.",I like my home because my bedroom is big.,1.0
5,A1,ADJECTIVES,superlatives,FORM: 'MY BEST FRIEND',Can use the irregular superlative adjective 'best' in the phrase 'my best friend'.,She's my best friend.,
6,A1,ADVERBS,adverb phrases - form,FORM: 'VERY' + ADVERB,Can modify adverbs of time and degree with 'very'.,I hope you will be fine very soon.,
7,A1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: TIME,"Can use 'soon' in the phrases 'See you soon' and 'Get well soon', as a signing-off device.",Take care. See you soon.,
8,A1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: PLACE,"Can use a limited range of adverbs ('here', 'there') to indicate place.",My girlfriend is here with me.,1.0
9,A1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: DEGREE WITH VERBS ,"Can use 'really' and 'very much' with verbs expressing preference ('like', 'love'), for emphasis.",I really like theatre and a classical music.,
10,A1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: 'VERY' WITH ADJECTIVES,Can use 'very' to make adjectives stronger.,He's a very good man.,
11,A1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: FREQUENCY ,"Can use a limited range of adverbs ('always', 'sometimes') to talk about frequency.","I like Dorchester's people, they are always very friendly and polite.",1.0
12,A1,ADVERBS,adverbs as modifiers,FORM: 'VERY' + ADJECTIVES,Can use 'very' to modify common gradable adjectives.,My home is very nice.,
13,A1,ADVERBS,adverbs as modifiers,FORM: 'VERY' + TIME ADVERBS ,Can use 'very' to modify time adverbs. ► adverb phrases,I hope you get well very soon.,
14,A1,ADVERBS,adverbs as modifiers,"FORM: PLACE, COMPLEMENT","Can use place adverbs ('here', 'there') as complements of verbs.",I am happy here because people are very nice.,
15,A1,ADVERBS,adverbs as modifiers,"FORM: DEGREE and TIME, MODIFYING VERBS",Can use degree and time adverbs to modify verbs.,I really like Japanese music.,
16,A1,ADVERBS,position,FORM: FRONT POSITION,Can use a limited range of adverbs in front position.,Sometimes I go to the beach.,
17,A1,ADVERBS,position,"FORM: DEGREE, BEFORE ADJECTIVES",Can use a limited range of degree adverbs before an adjective.,My home is very light and very comfortable.,1.0
18,A1,ADVERBS,position,"FORM: FREQUENCY, MID POSITION","Can use frequency adverbs in the usual mid position, between the subject and the main verb.","In my free time I always listen to music, watch TV, clean my room...",
19,A1,ADVERBS,position,"FORM: 'REALLY,'  MID POSITION ","Can use 'really' in the usual mid-position, between the subject and the main verb.",I really love walking.,
20,A1,ADVERBS,position,"FORM: TIME, END POSITION",Can use time adverbs in the usual end position.,Get well soon.,
21,A1,ADVERBS,position,"FORM: PLACE, END POSITION",Can use place adverbs in the usual end position.,I have many friends there.,1.0
22,A1,CLAUSES,coordinated,"FORM: CLAUSE + CLAUSE, ELLIPTED SUBJECT",Can omit the subject in a second main declarative clause when the subject is obvious or the same as the first clause.,She likes to listen to music and watch TV.,
23,A1,CLAUSES,coordinated,FORM: MAIN CLAUSE + MAIN CLAUSE,"Can combine two main declarative clauses using co-ordinating conjunctions ('and', 'but', 'or').",I like my college and I like my class.,
